"annotation_id","annotator","created_at","has_damage","id","images","layer","lead_time","updated_at"
15,"1","2026-05-23T14:12:57.648799Z","",15,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1483.png","[{""x"":72.86821705426355,""y"":45.08050089445438,""width"":9.779367918902793,""height"":7.5134168157423815,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":35.18187239117469,""y"":19.409660107334524,""width"":55.336911150864644,""height"":54.9194991055456,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",27.438,"2026-05-23T14:12:57.648809Z"
16,"1","2026-05-23T14:13:22.183214Z","",16,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1484.png","[{""x"":38.1633870005963,""y"":49.910554561717355,""width"":7.036374478234947,""height"":7.871198568872984,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":29.695885509838988,""y"":20.125223613595704,""width"":30.649970184853885,""height"":64.13237924865828,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",24.107,"2026-05-23T14:13:22.183225Z"
17,"1","2026-05-23T14:13:36.252372Z","",17,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1485.png","[{""x"":30.649970184853903,""y"":18.962432915921287,""width"":55.098389982110916,""height"":59.66010733452595,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",13.682,"2026-05-23T14:13:36.252383Z"
18,"1","2026-05-23T14:14:07.454213Z","",18,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1486.png","[{""x"":67.81246771052349,""y"":22.19131897274884,""width"":3.5492978789374945,""height"":2.7559254118808845,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":58.49409303924842,""y"":2.505386738073511,""width"":13.028011037981857,""height"":24.64674203579809,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",30.754,"2026-05-23T14:14:07.454223Z"
19,"1","2026-05-23T14:14:19.092345Z","",19,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1487.png","[{""x"":63.08884913536076,""y"":38.372093023255815,""width"":5.008944543828264,""height"":3.4883720930232585,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":60.10733452593918,""y"":9.838998211091235,""width"":13.714967203339299,""height"":34.794275491949904,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",11.26,"2026-05-23T14:14:19.092357Z"
20,"1","2026-05-23T14:14:37.027387Z","",20,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1488.png","[{""x"":37.68634466308885,""y"":39.62432915921288,""width"":6.320810971973756,""height"":6.171735241502688,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":37.44782349433512,""y"":1.341681574239714,""width"":34.10852713178292,""height"":47.227191413237904,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",17.558,"2026-05-23T14:14:37.027402Z"
21,"1","2026-05-23T14:14:55.378390Z","",21,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1489.png","[{""x"":62.373285629099584,""y"":34.704830053667266,""width"":5.60524746571258,""height"":5.098389982110909,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":27.072152653548002,""y"":17.26296958855097,""width"":46.392367322599895,""height"":38.99821109123434,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",17.944,"2026-05-23T14:14:55.378401Z"
22,"1","2026-05-23T14:15:31.786415Z","",22,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1490.png","[{""x"":49.27678149334284,""y"":36.59490946753704,""width"":3.0899769769573524,""height"":2.192213395814335,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":42.55399374617887,""y"":28.546354571475835,""width"":12.986254592347457,""height"":18.57117919596972,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",36.019,"2026-05-23T14:15:31.786425Z"
23,"1","2026-05-23T14:15:56.009790Z","",23,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1491.png","[{""x"":49.97018485390579,""y"":44.18604651162791,""width"":5.485986881335698,""height"":4.293381037567088,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":35.5396541443053,""y"":29.96422182468692,""width"":24.567680381633895,""height"":32.91592128801429,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",23.817,"2026-05-23T14:15:56.009801Z"
24,"1","2026-05-23T14:16:17.910826Z","",24,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1492.png","[{""x"":12.880143112701253,""y"":76.65474060822898,""width"":11.091234347048298,""height"":9.391771019678004,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":12.522361359570658,""y"":19.320214669051865,""width"":43.76863446630887,""height"":66.72629695885506,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",21.512,"2026-05-23T14:16:17.910837Z"
25,"1","2026-05-23T14:16:47.576552Z","Registraion number has defect",25,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1493.png","[{""x"":42.57602862254025,""y"":43.20214669051878,""width"":5.605247465712587,""height"":5.277280858676214,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":37.56708407871201,""y"":27.191413237924838,""width"":29.93440667859271,""height"":36.225402504472235,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",29.246,"2026-05-23T14:16:47.576562Z"
26,"1","2026-05-23T14:17:05.070317Z","Registraion number has defect",26,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1494.png","[{""x"":44.841979725700654,""y"":39.62432915921288,""width"":8.467501490757314,""height"":7.692307692307693,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":37.92486583184257,""y"":14.758497316636848,""width"":46.63088849135364,""height"":50.53667262969592,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",17.092,"2026-05-23T14:17:05.070327Z"
27,"1","2026-05-23T14:17:32.287135Z","Registraion number has defect",27,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1495.png","[{""x"":95.40846750149069,""y"":72.80858676207508,""width"":3.8163387000596716,""height"":10.10733452593923,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":41.741204531902206,""y"":19.409660107334524,""width"":57.722122838401845,""height"":64.40071556350621,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",26.81,"2026-05-23T14:17:32.287144Z"
28,"1","2026-05-23T14:17:52.545996Z","Registraion number has defect",28,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1496.png","[{""x"":46.39236732259988,""y"":66.18962432915922,""width"":9.063804412641616,""height"":7.1556350626118075,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":39.952295766249215,""y"":12.880143112701257,""width"":31.246273106738247,""height"":61.09123434704835,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",19.868,"2026-05-23T14:17:52.546005Z"
29,"1","2026-05-23T14:18:11.008567Z","Registraion number has defect",29,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1497.png","[{""x"":35.18187239117472,""y"":54.74060822898033,""width"":6.440071556350617,""height"":8.586762075134168,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":34.943351222420944,""y"":11.985688729874775,""width"":57.00655933214068,""height"":51.699463327370296,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",21.932,"2026-05-23T14:18:19.272142Z"
30,"1","2026-05-23T14:18:42.858493Z","",30,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1498.png","[{""x"":40.78711985688727,""y"":21.824686940966014,""width"":38.5211687537268,""height"":37.56708407871193,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",14.781,"2026-05-23T14:18:42.858503Z"
31,"1","2026-05-23T14:19:13.397772Z","Registraion number has defect",31,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1499.png","[{""x"":44.89066900318118,""y"":50.849102271303835,""width"":3.349692891563514,""height"":2.4778550156771217,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":40.43970721576117,""y"":31.645725899806187,""width"":10.691485530606835,""height"":23.22989077197297,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",30.118,"2026-05-23T14:19:13.397783Z"
32,"1","2026-05-23T14:19:27.243974Z","Registraion number has defect",32,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1500.png","[{""x"":50.68574836016696,""y"":60.46511627906976,""width"":5.128205128205131,""height"":4.114490161001797,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":41.50268336314848,""y"":31.5742397137746,""width"":14.788312462731064,""height"":34.16815742397138,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",13.482,"2026-05-23T14:19:27.243984Z"
33,"1","2026-05-23T14:19:45.782460Z","Registraion number has defect",33,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1501.png","[{""x"":63.565891472868216,""y"":65.02683363148479,""width"":5.843768634466315,""height"":6.350626118067979,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":32.20035778175308,""y"":27.4597495527728,""width"":37.567084078711936,""height"":45.52772808586754,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",18.13,"2026-05-23T14:19:45.782470Z"
34,"1","2026-05-23T14:20:15.755830Z","Registraion number has defect",34,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1502.png","[{""x"":16.219439475253427,""y"":54.38282647584973,""width"":4.174120453190223,""height"":7.334525939177105,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":8.586762075134166,""y"":31.39534883720929,""width"":57.72212283840188,""height"":45.70661896243295,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",29.586,"2026-05-23T14:20:15.755841Z"
35,"1","2026-05-23T16:25:04.048928Z","Registraion number has defect",35,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1503.png","[{""x"":21.81098858173757,""y"":50.01021389291317,""width"":8.167378885262114,""height"":6.69727683736799,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":12.594113620807645,""y"":25.46201232032852,""width"":43.80561259411357,""height"":49.79466119096506,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",3593.286,"2026-05-23T16:25:04.048938Z"
36,"1","2026-05-23T16:28:28.764440Z","",36,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1504.png","[{""x"":21.087473124588946,""y"":50.205338809034714,""width"":4.351090166873358,""height"":8.26631267634537,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":8.437303435055636,""y"":22.609186131171896,""width"":57.743167289599285,""height"":52.4881792326479,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",144.095,"2026-05-23T16:28:28.764451Z"
37,"1","2026-05-23T16:31:23.812615Z","",37,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1505.png","[{""x"":24.372585247551008,""y"":49.36040566511078,""width"":2.923722874112541,""height"":8.519536735631284,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":15.331964407939758,""y"":22.58726899383983,""width"":58.04243668720053,""height"":51.64271047227922,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",174.672,"2026-05-23T16:31:23.812626Z"
38,"1","2026-05-23T16:47:55.924503Z","",38,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1506.png","[{""x"":61.41025641025642,""y"":72.6923076923077,""width"":6.282051282051258,""height"":8.846153846153786,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":18.58974358974359,""y"":21.826923076923073,""width"":50,""height"":60.38461538461536,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",46.73,"2026-05-23T16:47:55.924513Z"
39,"1","2026-05-23T16:48:33.329381Z","",39,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1507.png","[{""x"":72.17948717948718,""y"":80.48076923076923,""width"":7.6923076923076925,""height"":11.538461538461524,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":20.769230769230752,""y"":13.26923076923077,""width"":59.74358974358971,""height"":78.75000000000001,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",37.012,"2026-05-23T16:48:33.329391Z"
40,"1","2026-05-23T16:49:15.526788Z","",40,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1508.png","[{""x"":16.794871794871764,""y"":53.55769230769231,""width"":9.487179487179482,""height"":7.642857142857114,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":6.095238095238095,""y"":27.142857142857103,""width"":60.19047619047626,""height"":54.28571428571427,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",41.849,"2026-05-23T16:49:15.526797Z"
41,"1","2026-05-23T16:49:59.469860Z","",41,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1509.png","[{""x"":46.95767195767196,""y"":41.88988095238091,""width"":3.3730158730158917,""height"":2.5545634920635263,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":43.022486772486815,""y"":31.324404761904677,""width"":13.260582010581956,""height"":22.941468253968146,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",43.586,"2026-05-23T16:49:59.469871Z"
42,"1","2026-05-23T16:51:23.389575Z","",42,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1510.png","[{""x"":45.7962366596079,""y"":43.2914603850888,""width"":4.780989485377018,""height"":4.166290837257094,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":40.24326195916406,""y"":27.504883622495726,""width"":21.303206422879946,""height"":33.94605889936662,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",83.571,"2026-05-23T16:51:23.389584Z"
43,"1","2026-05-23T16:51:58.535441Z","",43,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1511.png","[{""x"":40.21565409836119,""y"":51.33014935066669,""width"":4.565769069812956,""height"":6.752464649596993,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":33.04761904761906,""y"":29.81182131477988,""width"":41.714285714285694,""height"":45.83103582807721,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",34.748,"2026-05-23T16:51:58.535451Z"
44,"1","2026-05-23T16:52:17.580806Z","",44,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1512.png","[{""x"":18.476190476190467,""y"":25.785714285714285,""width"":54.28571428571425,""height"":45.50000000000002,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",18.683,"2026-05-23T16:52:17.580816Z"
45,"1","2026-05-23T16:52:51.155244Z","",45,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1513.png","[{""x"":65.69655590957359,""y"":62.14334482085933,""width"":6.0269198257363925,""height"":6.881786852201088,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":32.77973895846127,""y"":19.52027081721564,""width"":39.191175527366795,""height"":50.625621208884134,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",33.228,"2026-05-23T16:52:51.155253Z"
46,"1","2026-05-23T16:53:21.482171Z","",46,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1514.png","[{""x"":44.419836573682744,""y"":54.42688081149618,""width"":6.029867568329108,""height"":5.579036348267084,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":44.25077486615947,""y"":22.178360101437022,""width"":33.19244857706389,""height"":39.13778529163142,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",29.915,"2026-05-23T16:53:21.482183Z"
47,"1","2026-05-23T16:53:53.375035Z","",47,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1515.png","[{""x"":51.12983392784517,""y"":43.86810589711392,""width"":2.66764035539639,""height"":2.135394803718748,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":44.255529935092916,""y"":36.961738919320666,""width"":11.388772286499917,""height"":15.736513058035179,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",31.516,"2026-05-23T16:53:53.375066Z"
48,"1","2026-05-23T16:54:26.004927Z","",48,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1516.png","[{""x"":40.67505628895406,""y"":39.096500283177434,""width"":3.7704128095557827,""height"":2.7688969070175014,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":30.127411951110865,""y"":29.346248025132926,""width"":16.61845781989587,""height"":21.441016721007138,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",32.279,"2026-05-23T16:54:26.004939Z"
49,"1","2026-05-23T16:54:52.526709Z","",49,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1517.png","[{""x"":46.60179870414605,""y"":40.399183201868595,""width"":5.192371406039345,""height"":3.8585512283412005,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":27.49958830211119,""y"":26.965708555051165,""width"":27.438586512648516,""height"":28.796224907805566,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",26.182,"2026-05-23T16:54:52.526720Z"
50,"1","2026-05-23T16:55:23.637732Z","",50,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1518.png","[{""x"":47.79543533389683,""y"":38.82924767540152,""width"":5.804451958298112,""height"":5.663567202028718,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":16.95238095238093,""y"":20.500000000000014,""width"":44.761904761904795,""height"":39,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",30.763,"2026-05-23T16:55:23.637741Z"
51,"1","2026-05-23T16:55:55.312420Z","",51,"s3://bucket-sample/mai-101-2026-monzikov/IMG_1519.png","[{""x"":56.96543236308865,""y"":35.699475249294395,""width"":3.1569708347886305,""height"":6.2152863309900965,""rotation"":0,""rectanglelabels"":[""Registration Number""],""original_width"":3024,""original_height"":4032},{""x"":22.080006210564687,""y"":16.123959099043486,""width"":45.63903063345896,""height"":46.6797940054238,""rotation"":0,""rectanglelabels"":[""Scooter""],""original_width"":3024,""original_height"":4032}]",31.334,"2026-05-23T16:55:55.312429Z"
